glȗxъ	bcs	glȗh	ɡlûːx		IN_WIKTIONARY		
glъtati	bcs	gùtati	ɡǔtati		IN_WIKTIONARY		
glьjь	bcs	glȇj	ɡlêːj				
gnestì	bcs	gnjèsti	ɡɲěsti				
gně̀vъ	bcs	gnjȅv	ɡɲêʋ				
gně̄zdò	bcs	gnijèzdo	ɡnijězdo				
gnȏjь	bcs	gnȏj	ɡnôːj		IN_WIKTIONARY		
gnusiti	bcs	gnúsiti	ɡnǔːsiti				
gnusьnъ	bcs	gnȕsan	ɡnûsan		IN_WIKTIONARY		
gnȗsъ	bcs	gnȗs	ɡnûːs				
gńilъ	bcs	gnȉo	ɡnîo				
gńìda	bcs	gnjȉda	ɡɲîda		IN_WIKTIONARY		
gńìti	bcs	gnjȉti	ɡɲîti				
gobino	bcs	gobino	ɡobino	ɡobino	SAME		
godina	bcs	gȍdina	ɡôdina		IN_WIKTIONARY		
goditi	bcs	gòditi	ɡǒditi		IN_WIKTIONARY		
godъ	bcs	gȏd	ɡôːd		IN_WIKTIONARY		
godьnъ	bcs	gȍdan	ɡôdan				
gojiti	bcs	gòjiti	ɡǒjiti		IN_WIKTIONARY		
golěmъ	bcs	gòlem	ɡǒlem		IN_WIKTIONARY		
golěnь	bcs	gȍlijen	ɡôlijen				
golgolati	bcs	glagòlati	ɡlaɡǒlati				
golgolъ	bcs	glágolj	ɡlǎːɡoʎ		IN_WIKTIONARY		
golota	bcs	golòta	ɡolǒta				
golǫbъ	bcs	golùbijī	ɡolǔbijiː				
golvà	bcs	gláva	ɡlǎːʋa		IN_WIKTIONARY		
gonìti	bcs	gòniti	ɡǒniti		IN_WIKTIONARY		
gorà	bcs	gòra	ɡǒra		IN_WIKTIONARY		
gorěti	bcs	gòrjeti	ɡǒrjeti		IN_WIKTIONARY		
gorьjь	bcs	gȍrī	ɡôriː				
gorьkъ	bcs	górak	ɡǒːrak		IN_WIKTIONARY		
gospodinъ	bcs	gospòdin	ɡospǒdin		IN_WIKTIONARY		
gospodь	bcs	gȍspōd	ɡôspoːd				
gověti	bcs	gòvjeti	ɡǒʋjeti				
govę̀do	bcs	gòvedo	ɡǒʋedo		IN_WIKTIONARY		
govorìti	bcs	govòriti	ɡoʋǒriti		IN_WIKTIONARY		
govorъ	bcs	gȍvōr	ɡôvoːr		IN_WIKTIONARY		
govьnò	bcs	góvno	ɡǒːʋno		IN_WIKTIONARY		
gòlъ	bcs	gȏ	ɡôː		IN_WIKTIONARY		
gòrxъ	bcs	grȁh	ɡrâx		IN_WIKTIONARY		
gȍlǫbь	bcs	gȍlūb	ɡôluːb				
gȏjь	bcs	gȏj	ɡôːj				
gȏldъ	bcs	glȃd	ɡlâːd		IN_WIKTIONARY		
gȏlsъ	bcs	glȃs	ˈɡlaːs		IN_WIKTIONARY		
gȏrdъ	bcs	grȃd	ɡrâːd		IN_WIKTIONARY		
gȏstь	bcs	gȏst	ɡôːst		IN_WIKTIONARY		
gǫsti	bcs	gústi	ɡǔːsti				
gǫ̀ba	bcs	gȕba	ɡûba				
gǫ̑stъ	bcs	gȗst	ɡûːst		IN_WIKTIONARY		
grajati	bcs	grȁjati	ɡrâjati				
grakati	bcs	grákati	ɡrǎːkati				
gramada	bcs	gramáda	ɡramǎːda				
gràbiti	bcs	grȁbiti	ɡrâbiti		IN_WIKTIONARY		
gràdъ	bcs	grȁd	ɡrâd				
grebenь	bcs	grȅben	ɡrêben				
greti	bcs	grèpsti	ɡrěpsti				
grějati	bcs	grȅjati	ɡrêjati				
grěti	bcs	grȅjati	ɡrêjati				
grě́xъ	bcs	grȉjeh	ɡrîjex				
gręsti	bcs	grèsti	ɡrěsti				
grę̄dà	bcs	gréda	ɡrěːda				
grę̑znǫti	bcs	grȅznuti	ɡrêznuti				
grę̑zь	bcs	grȇz	ɡrêːz				
gribati	bcs	gribati	ɡribati	ɡribati	SAME		
grivьna	bcs	grȋvna	ɡrîːʋna				
grìva	bcs	grȉva	ɡrîʋa		IN_WIKTIONARY		
grobъ	bcs	grȍb	ɡrôb		IN_WIKTIONARY		
gromada	bcs	gromáda	ɡromǎːda				
grozà	bcs	gròza	ɡrǒza				
grozdьje	bcs	grȏzđe	ɡrôːzd͡ʑe				
groziti	bcs	gròziti	ɡrǒziti		IN_WIKTIONARY		
grozьnъ	bcs	grȏzan	ɡrôːzan		IN_WIKTIONARY		
gròzdъ	bcs	grȏzd	ɡrôːzd				
grȏmъ	bcs	grȏm	ɡrôːm		IN_WIKTIONARY		
grǫziti	bcs	grȕziti	ɡrûziti				
grǫ̑dь	bcs	grȗd	ɡrûːd				
grỳzti	bcs	grȉsti	ɡrîsti		IN_WIKTIONARY		
grъměždžь	bcs	kr̀mēlj	křmeːʎ	křmeːʎ	SAME		
grъmъ	bcs	gȓm	ɡr̂ːm				
grьměti	bcs	gr̀mljeti	ɡř̩mʎeti		CORRECTED		
gubìti	bcs	gùbiti	ɡǔbiti		IN_WIKTIONARY		
gumьnò	bcs	gúmno	ɡǔːmno				
gvě̄zdà	bcs	zvijèzda	zʋijězda				
gybati	bcs	gíbati	ɡǐːbati		IN_WIKTIONARY		
gyža	bcs	gȉža	ɡîʒa				
gỳnǫti	bcs	gȉnuti	ɡînuti		IN_WIKTIONARY		
gāsìti	bcs	gásiti	ɡǎːsiti		IN_WIKTIONARY		
gъnàti	bcs	gnȁti	ɡnâti				
gъnǫti	bcs	gànuti	ɡǎnuti		IN_WIKTIONARY		
gъrkati	bcs	grkati	ˈɡrkati	ɡrkati	DIFFERENT	2	
