lǭkà	church_slavic	lǫka	lɔ̃ka
l̨utiti sę	church_slavic	ljutiti sę	ʎutiti sɛ̃
l̨ȗdъ	church_slavic	ljudъ	ʎudʊ
lъbъ	church_slavic	lъbъ	lʊbʊ
lьdza	church_slavic	lьdza	lɪdza
lьněnъ	church_slavic	lьněnǫ	lɪnænɔ̃
lь̑nъ	church_slavic	lьnъ	lɪnʊ
manǫti	church_slavic	manǫti	manɔ̃ti
mara	church_slavic	mara	mara
màkъ	church_slavic	makъ	makʊ
mȃmъ	church_slavic	mamъ	mamʊ
medvě̀dь	church_slavic	medvědь	mɛdvædɪ
melzti	church_slavic	mlěsti	mlæsti
mestì	church_slavic	mesti	mɛsti
męknǫti	church_slavic	męknǫti	mɛ̃knɔ̃ti
męti	church_slavic	męti	mɛ̃ti
mitusь	church_slavic	mitusь	mitusɪ
mlinъ	church_slavic	mlinъ	mlinʊ
modrъ	church_slavic	modrъ	mɔdrʊ
moltiti	church_slavic	mlatiti	mlatiti
molь	church_slavic	molь	mɔlɪ
morà	church_slavic	mora	mɔra
morvi	church_slavic	mravii	mravii
motriti	church_slavic	motriti	mɔtriti
mȏzgъ	church_slavic	mozgъ	mɔzgʊ
mykati	church_slavic	mykati	mɨkati
mỳdlo	church_slavic	mylo	mɨlɔ
māxàti	church_slavic	maxati	maxati
mъdьlь	church_slavic	mъdlъ	mʊdlʊ
mъdьlьnъjь	church_slavic	mьdьlьnyi	mɪdɪlɪnɨi
mъmati	church_slavic	mъmati	mʊmati
mъšica	church_slavic	mъšica	mʊʃit͡sa
mъždžiti	church_slavic	moždivyi	mɔʒdivɨi
mьrznǫti	church_slavic	mrъznǫti	mrʊznɔ̃ti
mьčьta	church_slavic	mьčьta	mɪt͡ʃɪta
mьšelъ	church_slavic	mьšelъ	mɪʃɛlʊ
ponerti	church_slavic	ponrěti	pɔnræti
nestera	church_slavic	nestera	nɛstɛra
netopyr'ь	church_slavic	netopyrь	nɛtɔpɨrɪ
netьjь	church_slavic	netii	nɛtii
niknǫti	church_slavic	niknuti	niknuti
ničati	church_slavic	ničati	nit͡ʃati
norà	church_slavic	nora	nɔra
novákъ	church_slavic	novakъ	nɔvakʊ
nȏsъ	church_slavic	nosъ	nɔsʊ
nuriti	church_slavic	nuriti	nuriti
nuta	church_slavic	nuta	nuta
nyr̨ati	church_slavic	nyrjati	nɨrʲati
obora	church_slavic	obora	ɔbɔra
obьlъ	church_slavic	obьlъ	ɔbɪlʊ
olni	church_slavic	lani	lani
orě̀xъ	church_slavic	orěxъ	ɔræxʊ
òlčьnъ	church_slavic	alčьnъ	alt͡ʃɪnʊ
ȏlъ	church_slavic	olъ	ɔlʊ
ȏsь	church_slavic	osь	ɔsɪ
ǫkotь	church_slavic	ǫkotь	ɔ̃kɔtɪ
ǫty	church_slavic	ǫty	ɔ̃tɨ
ǫziti	church_slavic	ǫziti	ɔ̃ziti
ǫ̀zlъ	church_slavic	ǫzlъ	ɔ̃zlʊ
ǫ́sъ	church_slavic	ǫsъ	ɔ̃sʊ
palьcь	church_slavic	palьcь	palɪt͡sɪ
pàǭkъ	church_slavic	paǫkъ	paɔ̃kʊ
pàra	church_slavic	para	para
pelesъ	church_slavic	pelesъ	pɛlɛsʊ
però	church_slavic	pero	pɛrɔ
pę̑stь	church_slavic	pęstь	pɛ̃stɪ
plástъ	church_slavic	plastъ	plastʊ
plěsnь	church_slavic	plěsnь	plæsnɪ
plě̑šь	church_slavic	plěšь	plæʃɪ
podorgъ	church_slavic	podragъ	pɔdragʊ
polè̌no	church_slavic	polěno	pɔlænɔ
polìca	church_slavic	polica	pɔlit͡sa
poltьnò	church_slavic	platьno	platɪnɔ
polvъ	church_slavic	plavъ	plavʊ
polxъ	church_slavic	plaxъ	plaxʊ
polšiti	church_slavic	plašiti	plaʃiti
porti	church_slavic	prati	prati
pȍrsę	church_slavic	prasę	prasɛ̃
pǫditi	church_slavic	pǫditi	pɔ̃diti
prysnǫti	church_slavic	prysnǫti	prɨsnɔ̃ti
pьrati	church_slavic	pьrati	pɪrati
pьxati	church_slavic	pьxati	pɪxati
pь̀strъ	church_slavic	pьstrъ	pɪstrʊ
pь̑nь	church_slavic	pьnь	pɪnɪ
ritь	church_slavic	ritь	ritɪ
rǫ̑bъ	church_slavic	rǫbъ	rɔ̃bʊ
rỳti	church_slavic	ryti	rɨti
rъvàti	church_slavic	rъvati	rʊvati
sanь	church_slavic	sanь	sanɪ
sedъlò	church_slavic	sedьlo	sɛdɪlɔ
sętjь	church_slavic	sęštъ	sɛ̃ʃtʊ
snuti	church_slavic	snuti	snuti
snъxà	church_slavic	snъxa	snʊxa
sokъ	church_slavic	sokъ	sɔkʊ
solnà	church_slavic	slana	slana
solvъ	church_slavic	slavoočije	slavɔɔt͡ʃijɛ
sočìti	church_slavic	sočiti	sɔt͡ʃiti
sòlma	church_slavic	slama	slama
sǫčiti	church_slavic	sǫčiti	sɔ̃t͡ʃiti
stьblò	church_slavic	stьblo	stɪblɔ
stьblь	church_slavic	stьblь	stɪblɪ
sunǫti	church_slavic	sunǫti	sunɔ̃ti
svekrъ	church_slavic	svekrъ	svɛkrʊ
svepiti sę	church_slavic	svepiti sę	svɛpiti sɛ̃
śěrъ	church_slavic	sěrъ	særʊ
sъporъ	church_slavic	sъporъ	sʊpɔrʊ
sьcati	church_slavic	sьcati	sɪt͡sati
sьrna	church_slavic	srъna	srʊna
sьršenь	church_slavic	srьšenь	srɪʃɛnɪ
tàjati	church_slavic	tajati	tajati
tekъ	church_slavic	tekъ	tɛkʊ
tenetò	church_slavic	teneto	tɛnɛtɔ
tèrti	church_slavic	trěti	træti
tęgti	church_slavic	rastęšti	rastɛ̃ʃti
tìskati	church_slavic	tiskati	tiskati
tǫ̑gъ	church_slavic	tǫgъ	tɔ̃gʊ
trǫdъ	church_slavic	trǫdъ	trɔ̃dʊ
trǫtъ	church_slavic	trutъ	trutʊ
