				corr.
tęgati	slovene	tę́zati	tè̝ːzati	
stornà	slovene	strȃn	stráːn	
ežica	slovene	ježíca	jɛʒìːt͡sa	
korenь	slovene	korę̑n	kɔré̝ːn	
gъrba	slovene	gȓb	ɡə́rp	
drāpàti	slovene	drápati	dràːpati	
rědъkъ	slovene	rẹ́dǝk	rèːdǝk	
lixъ	slovene	lȋh	líːx	
klěšča	slovene	klẹ́šče	klèːʃt͡ʃɛ	
xȏdъ	slovene	hòd	xɔ́t	
nȇrstь	slovene	mrẹ̑st	mréːst	
dьlti	slovene	dóɫbsti	dɔ̀ːbsti	
gorěti	slovene	gorẹ́ti	ɡɔrèːti	
drozdъ	slovene	drǫ̑zd	dró̝ːzd	
pьxati	slovene	pǝháti	pəxàːti	
brìtva	slovene	brȋtva	bríːtʋa	
erębъ	slovene	jerę̑b	jɛré̝ːp	
jȗnъ	slovene	jȗn	júːn	
moldъ	slovene	mlȃd	mláːt	
pǫkti	slovene	pǫ́čiti	pèːt͡ʃiti	
stogъ	slovene	stòg	stə́k	
solvikъ	slovene	slávǝc	slàːʋət͡s	
gospodь	slovene	gospọ̑d	ɡɔspóːt	
zъlъ	slovene	zǝ̀ɫ	zə́ʊ	
brъknǫti	slovene	bŕsniti	bə̀rsniti	
miglъ	slovene	mǝglà	məɡlá	
mělь	slovene	mẹ̑lj	méːlj	
jьlьmъ	slovene	lìm	líːm	
modliti	slovene	modliti	mɔdliti	
kȏsъ	slovene	kọ̑s	kóːs	
pìti	slovene	píti	pìːti	
tъ̀ščь	slovene	tǝ̀šč	tə́ʃt͡ʃ	
tȏkъ	slovene	tòk	tók	
lьgъkъ	slovene	lahȃk	laxáːk	
seló	slovene	sélọ	sɛ̀ːl	
vodà	slovene	vóda	ʋɔ̀ːda	
nȃgъ	slovene	nȃg	náːk	
emela	slovene	omę́la	ɔmèːla	
kry	slovene	krȋ	kríː	
gnestì	slovene	gnésti	ɡnɛ̀ːsti	
kъlkъ	slovene	kòɫk	kóʊk	
načęti	slovene	načę́ti	nat͡ʃè̝ːti	
molь	slovene	mòlj	mɛlj	
àblo	slovene	jáblọ	jàːblo	
glȗxъ	slovene	glȗh	ɡlúːx	
vь̀rša	slovene	vŕša	ʋə̀rʃa	
tǫ̑gъ	slovene	tǫ̑g	tó̝ːɡ	
teslò	slovene	tésla	tɛ̀ːsla	
kъrzno	slovene	kŕzno	kə̀rznɔ	
glumъ	slovene	glúma	ɡlùːma	
gъ̑rdъ	slovene	gȓd	ɡə́rt	
govorъ	slovene	gǫ̑vor	ɡó̝ːʋɔr	
česno	slovene	čésǝn	t͡ʃɛ̀ːsən	
sъmè̌ti	slovene	smẹ́ti	smèːti	
my	slovene	mȋ	míː	
lъskъ	slovene	lǝ̀sk	lə̀ːsk	
dьlgotà	slovene	doɫgóta	dɔ̀ɡɔ̀ːta	
mǭkà	slovene	mǫ́ka	mèːka	
byvati	slovene	bívati	bìːʋati	
grě́xъ	slovene	grẹ́h	ɡrèːx	
sìla	slovene	síla	sìːla	
bojati sę	slovene	bojáti se	bɔjàːti sɛ	
stojati	slovene	státi	stàːti	
glěnь	slovene	glẹ̑n	ɡléːn	
dva	slovene	dvȃ	dʋáː	
mě̀sto	slovene	mẹ́stọ	mèːsto	
želdъ	slovene	žlẹ̑d	ʒléːt	
męzdra	slovene	mę́zdra	mèːzdra	
krỳti	slovene	kríti	krìːti	
košara	slovene	košȃra	kɔʃáːra	
stenàti	slovene	stenjáti	stɛnjàːti	
xoxotati	slovene	hohotáti	xɔxɔtàːti	
dȅsętь	slovene	desę̑t	dɛséːt	
sušìti	slovene	sušíti	suʃìːti	
blistati	slovene	blískati (se)	blìːskati sɛsɛ	
žìti	slovene	živẹ́ti	ʒiʋèːti	
śěrъ	slovene	sę́r	sè̝ːr	
košarъ	slovene	košȃra	kɔʃáːra	
natь	slovene	nȃt	náːt	
duti	slovene	dúti	dùːti	
vъnùkъ	slovene	vnúk	ʋnùːk	
bèrdjь	slovene	brẹ́ja	brèːja	
vỳmę	slovene	víme	ʋìːmɛ	
borna	slovene	brána	bràːna	
ěrьcь	slovene	jȃrǝc	jáːrǝt͡s	
dobl̨ь	slovene	dǫ́bǝlj	dòːbəlj	
myšьca	slovene	mȋšca	míːʃt͡sa	
àstrě̄bъ	slovene	jȃstreb	jáːstrɛp	
lemežь	slovene	lémeš	lɛ̀ːmɛʃ	
vьsь	slovene	vȃs	ʋáːs	
krěpъkъ	slovene	krẹ́pǝk	krèːpǝk	
dzělo	slovene	zẹlọ̑	zelóː	
lě̑pъ	slovene	lẹ̑p	léːp	
sǫ-	slovene	so-	sɔ-	
pỳrьjь	slovene	pȋr	píːr	
kyslъ	slovene	kísǝɫ	kìːs	
kъrnъ	slovene	kr̀n	krə̀n	
bȏrъ	slovene	bọ̑r	bóːr	
òlkomъjь	slovene	lákom	làːkɔm	
bȁba	slovene	bába	bàːba	
pȋvo	slovene	pívọ	pìːʋo	
jьlъkъ	slovene	jérǝk	jɛ̀ːrǝk	
cě̄nà	slovene	cẹ́na	t͡sèːna	
pȍl̨e	slovene	pọ̑lje	póːljɛ	
lěnь	slovene	len	lɛn	
gleznъ	slovene	glę́žǝnj	ɡlèːʒǝnj	
kotorъ	slovene	kotę́ri	kɔtòːri	
būdìti	slovene	budíti	budìːti	
pelna	slovene	plẹ́na	plèːna	
dvogubъ	slovene	dvogùb	dʋɔɡɔb	
erębъkъ	slovene	jerę̑b	jɛré̝ːp	
stьlati	slovene	stláti	stlàːti	
ȍlovo	slovene	olǫ́v	ɔlò̝ːʋ	
lьjati	slovene	léja	lɛ̀ːja	
kỳla	slovene	kíla	kìːla	
krȋkъ	slovene	krȋk	kríːk	
edъvà	slovene	jèdva	jɛ̀ːdʋa	
pȇktь	slovene	pę̑č	pé̝t͡ʃ	
ę̄trò	slovene	ję́tra	jèːtra	
kvisti	slovene	cvésti	t͡sʋɛ̀ːsti	
pl̨ūtjè	slovene	pljúča	pljùːt͡ʃa	
dьrznǫti	slovene	dŕzniti	də̀rzniti	
svòrka	slovene	sráka	sràːka	
medvě̀dь	slovene	médvẹd	mɛ̀ːdʋéːt	
górdja	slovene	grája	ɡràːja	
ovь̀sъ	slovene	óvǝs	ɔ̀ːʋəs	
elenъ	slovene	jélen	jɛ̀ːlɛn	
gromada	slovene	gromáda	ɡrɔmàːda	
kotьcь	slovene	kótǝc	kɔ̀ːtǝt͡s	
varìti	slovene	varíti	ʋarìːti	
jūxà	slovene	júha	jùːxa	
bьbrъ	slovene	bóbǝr	bɔ̀ːbər	
norà	slovene	nora	nɔra	
pȅpelъ	slovene	pepę̑ɫ	pɛpé̝ːʊ	
orsti	slovene	rásti	ràːsti	
čerpati	slovene	črẹ́pati	t͡ʃrèːpati	
rosà	slovene	rósa	rɔ̀ːsa	
ovъ	slovene	ǫ́v	èːʋ	
žuriti	slovene	žúriti se	ʒùːriti sɛ	
sъtȏ	slovene	stọ̑	stóː	
gǫgn̨avъ	slovene	gognjàv	ɡɔɡnjàːʋ	
činìti	slovene	číniti	t͡ʃìːniti	
kogъdy	slovene	kǝdá	kàːd	
mъxъ	slovene	mȃh	máːx	
zobàti	slovene	zóbati	zɔ̀ːbati	
solnъ	slovene	slȃn	sláːn	
kyjь	slovene	kȋj	kíːj	
mě̄zgà	slovene	mẹ́zga	mèːzɡa	
nȅbo	slovene	nebọ̑	nɛbóː	
protivъ	slovene	prọ̀ti	pròːti	
gòrxъ	slovene	gràh	ɡràːx	
kujati	slovene	kújati se	kùːjati sɛ	
směxъ	slovene	smẹ̑h	sméːx	
drevьnь	slovene	dréven	drɛ̀ːʋɛn	
bolěti	slovene	bolẹ́ti	bɔlèːti	
spěšiti	slovene	spẹ́šiti	spèːʃiti	
mikati	slovene	mȋkati	míːkati	
velě̀ti	slovene	velẹ́ti	ʋɛlèːti	
govę̀do	slovene	govę́dọ	ɡɔʋèːdo	
sanь	slovene	sanȋ	saníː	
bol̨eje	slovene	bọ̑lje	bóːljɛ	
bъděti	slovene	bǝdẹ́ti	bǝdèːti	
pь̀strъ	slovene	pǝ̀stǝr	pə̀ːstər	
medju	slovene	mèju	mɛ̀ːju	
niknǫti	slovene	níkniti	nìːkniti	
radi	slovene	zarȃdi	zaráːdi	
tretь	slovene	trę́tji	trèːtji	
ȅrxъkъ	slovene	šǝk	ʃək	
ěbàti	slovene	jébati	jɛ̀ːbati	
matorъ	slovene	matǫ́r	matò̝ːr	
godina	slovene	gǫ̑dina	ɡó̝ːdina	
nùdja	slovene	núja	nùːja	
kašьl̨ati	slovene	kȃšljati	káːʃljati	
màslo	slovene	máslọ	màːslo	
pȍjāsъ	slovene	pȃs	páːs	
dъ̑lgъ	slovene	dȏɫg	dɔ́ːʊk	
gabati	slovene	gábati	ɡàːbati	
sǫ́dъ	slovene	sǫ́d	sèːt	
čerdìti	slovene	črẹ́diti	t͡ʃrèːditi	
bliskati	slovene	blískati (se)	blìːskati sɛsɛ	
ęzỳkъ	slovene	jézik	jɛ̀ːzik	
mьzěti	slovene	mǝzẹ́ti	mǝzèːti	
paznogъtь	slovene	pážnohǝt	pàːʒnɔxǝt	
grajati	slovene	grájati	ɡràːjati	
onъ	slovene	òn	ə́n	
bȍršьno	slovene	brášnọ	bràːʃno	
slìva	slovene	slíva	slìːʋa	
mȏstъ	slovene	mọ̑st	móːst	
těsnъ	slovene	tésǝn	tɛ̀ːsən	
gubìti	slovene	gubíti	ɡubìːti	
sovà	slovene	sóva	sɔ̀ːʋa	
blęsti	slovene	blésti	blɛ̀ːsti	
glīstà	slovene	glísta	ɡlìːsta	
matorьnъ	slovene	matǫ́rǝn	matò̝ːrǝn	
gonìti	slovene	góniti	ɡɔ̀ːniti	
sèdmъ	slovene	sę́dmi	sè̝ːdmi	
žę́dja	slovene	žę́ja	ʒèːja	
mižati	slovene	mǝžáti	mǝʒàːti	
klasti	slovene	klásti	klàːsti	
zъvati	slovene	zváti	zʋàːti	
ostrovъ	slovene	ostròv	ɔstrɔ́ʋ	
rekti	slovene	réči	rɛ̀ːt͡ʃi	
blьščati	slovene	blẹ́ščati	blèːʃt͡ʃati	
kadìdlo	slovene	kadílọ	kadìːlo	
žàba	slovene	žába	ʒàːba	
dūxàti	slovene	dúhati	dùːxati	
dòrga	slovene	drága	dràːɡa	
sovati	slovene	suváti	suʋàːti	
mȏltъ	slovene	mlȃt	mláːt	
klětь	slovene	klẹ̑t	kléːt	
sěsti	slovene	sẹ́sti	sèːsti	
mъšica	slovene	mǝšíca	mʃìːt͡sa	
ȏstь	slovene	ǫ̑st	ó̝ːst	
dȍma	slovene	domȃ	dɔmáː	
nìščь	slovene	nȉšt	níʃt	
ědro	slovene	jádrọ	jàːdro	
esètrъ	slovene	jesētǝr	jɛsɛ̀ːtər	
bridь	slovene	brȋd	bríːt	
gręza	slovene	grę́za	ɡrèːza	
čьrpati	slovene	črpáti	t͡ʃərpàːti	
strȗpъ	slovene	strȗp	strúːp	
dьrati	slovene	dę̑rati	dóːrati	
čerěnь	slovene	čerẹ̀n	t͡ʃɛrèːn	
sъpati	slovene	spáti	spàːti	
perdъ	slovene	prẹ̑d	préːt	
gně̀vъ	slovene	gnẹ̀v	ɡnèːʋ	
lě̀zti	slovene	lẹ́sti	lèːsti	
grudъ	slovene	grúda	ɡrùːda	
brězgъ	slovene	brẹ̑sk	bréːsk	
vìděti	slovene	vídẹti	ʋìːditi	
orь̀lъ	slovene	órǝɫ	ɔ̀ːrǝʊ	
žьdàti	slovene	ždẹ́ti	ʒdèːti	
pokòjь	slovene	pókoj	pɔ̀ːkɔj	
gomol̨a	slovene	gomóla	ɡɔmɔ̀ːla	
ěžь	slovene	jẹ̑z	jéːs	
serdà	slovene	srẹ́da	srèːda	
kropiti	slovene	kropíti	krɔpìːti	
lomìti	slovene	lómiti	lɔ̀ːmiti	
sьcati	slovene	scáti	st͡sàːti	
vě̀ko	slovene	vẹ́ka	ʋèːka	
dę̀ga	slovene	dę́ga	dè̝ːɡa	
belnъ	slovene	blẹ̀n	blèːn	
cě̑lъ	slovene	cẹ̑ɫ	t͡séː	
klìkati	slovene	klícati	klìːt͡sati	
sněgъ	slovene	snẹ̑g	snéːk	
xvoja	slovene	hǫ̑ja	xóːja	
nogъtь	slovene	nọ̑hǝt	nóːxǝt	
mèčь	slovene	mèč	mɛ̀ːt͡ʃ	
kotъ	slovene	kòt	kɔ́t	
velkti	slovene	vlẹ́či	ʋlèːt͡ʃi	
merti	slovene	mrẹ́ti	mrèːti	
godъ	slovene	gọ̑d	ɡóːt	
mьrknǫti	slovene	mŕkniti	mə̀rkniti	
kobьcь	slovene	kóbǝc	kɔ̀ːbət͡s	
červьje	slovene	črẹ́vje	t͡ʃrèːʋjɛ	
sluti	slovene	slúti	slùːti	
bràtьja	slovene	brȃtja	bráːtja	
dȅvętь	slovene	devę̑t	dɛʋéːt	
bȏgъ	slovene	bọ̑g	bóːk	
pòlmy	slovene	plámen	plàːmɛn	
motati	slovene	motáti	mɔtàːti	
osìna	slovene	jesíka	jɛsìːka	
kǫsati	slovene	kosáti	kɔsàːti	
ězda	slovene	jẹ́zda	jèːzda	
pȏtъ	slovene	pọ̑t	póːt	
polъ	slovene	pọ̑l	póːl	
nicati	slovene	níkati	nìːkati	
pazduxa	slovene	pȃzduha	páːzduxa	
rovъ	slovene	ròv	rə́ʋ	
lęcati	slovene	lę́cati	lèːt͡sati	
studìti	slovene	stúditi	stùːditi	
vьčera	slovene	včę́ra	ʋt͡ʃè̝ːra	
ot	slovene	òd	ɔ́t	
čьrstvъ	slovene	čvȓst	t͡ʃʋə́rst	
metàti	slovene	métati	mɛ̀ːtati	
krьnica	slovene	krníca	krnìːt͡sa	
stьdzà	slovene	stǝzà	stəzá	
voldati	slovene	vládati	ʋlàːdati	
grǫdъ	slovene	grúda	ɡrùːda	
čemerъ	slovene	čemę́r	t͡ʃɛmè̝ːr	
bordatъ	slovene	bradàt	bradát	
plesti	slovene	plésti	plɛ̀ːsti	
cěvьnica	slovene	cẹ̑vnica	t͡séːʋnit͡sa	
na	slovene	nà	ná	
brestì	slovene	brésti	brɛ̀ːsti	
ȅzerъ	slovene	ję̑zerọ	jóːzɛro	
gàdъ	slovene	gàd	ɡàːt	
sȗxъ	slovene	sȗh	súːx	
strьžь	slovene	stȓž	stə́rʃ	
kydati	slovene	kídati	kìːdati	
sъporъ	slovene	spòr	spə̀r	
dupę	slovene	dúpa	dùːpa	
tỳsęti	slovene	tisǫ́ča	tisò̝ːt͡ʃa	
kòrva	slovene	kráva	kràːʋa	
pьkъlo	slovene	pǝkǝ̀ɫ	pək	
vesnà	slovene	vẹ̑sna	ʋéːsna	
r̨uti	slovene	rjúti	ərjùːti	
čermъšь	slovene	črę̑mha	t͡ʃré̝ːmxa	
elъkъ	slovene	jérǝk	jɛ̀ːrǝk	
studènъ	slovene	studèn	studɛ̀n	
akъjь	slovene	jȃk	jáːk	
dъvogubьnъ	slovene	dvogùb	dʋɔɡɔ́p	
grubъ	slovene	grǫ̑b	ɡróːp	
krotiti	slovene	krotíti	krɔtìːti	
družìna	slovene	družína	druʒìːna	
mьrznǫti	slovene	mŕzniti	mə̀rzniti	
kl̨ùka	slovene	kljúka	kljùːka	
věja	slovene	vẹ̑ja	ʋéːja	
luska	slovene	lȗska	lúːska	
dojìti	slovene	dojíti	dɔjìːti	
mỳdlo	slovene	mílọ	mìːlo	
čelověkъ	slovene	člóvẹk	t͡ʃlɔ̀ːʋek	
kolo	slovene	kolọ̑	kɔlóː	
blějati	slovene	blẹ́jati	blèːjati	
žerbьjь	slovene	žrȇb	ʒrɛ́ːp	
sestrà	slovene	séstra	sɛ̀ːstra	
gȏstь	slovene	gọ̑st	ɡóːst	
mȏrkъ	slovene	mrȃk	mráːk	
náglъ	slovene	nágǝɫ	nàːgǝʊ	
zęti	slovene	zę́bsti	zèːpsti	
mьrziti	slovene	mŕziti	mə̀rziti	
strigti	slovene	stríči	strìːt͡ʃi	
pǫ̀to	slovene	pǫ́tọ	pèːto	
krovъ	slovene	kròv	krɔ́ʋ	
dьrgati	slovene	dŕgati	də̀rɡati	
slỳšati	slovene	slíšati	slìːʃati	
da	slovene	dà	dá	
želza	slovene	žlẹ́za	ʒlèːza	
tędzati	slovene	tę́zati	tè̝ːzati	
bȁsn̨a	slovene	bȃsǝn	báːsǝn	
jьgъlà	slovene	ígla	ìːɡla	
moltiti	slovene	mlátiti	mlàːtiti	
gȏlsъ	slovene	glȃs	ɡláːs	
vesti	slovene	vésti	ʋɛ̀ːsti	
bolniti	slovene	blẹncáti	blent͡sàːti	
xabiti	slovene	hábiti	xàːbiti	
sedъlò	slovene	sédlọ	sɛ̀ːdl	
lemešь	slovene	lémeš	lɛ̀ːmɛʃ	
zȏrkъ	slovene	zrȃk	zráːk	
sъsàti	slovene	sǝsáti	sə́sàːti	
nuditi	slovene	núditi	nùːditi	
brъstь	slovene	br̀st	brəst	
žę̀tva	slovene	žę̑tva	ʒɔtʋa	
strъjь	slovene	stríc	strìːt͡s	
rębь	slovene	rę̑b	ré̝ːp	
lǫčьje	slovene	lǫ̑čje	ló̝ːt͡ʃjɛ	
xromъ	slovene	hròm	xrɛm	
ne	slovene	nè	nɛ́	
korьcь	slovene	kórǝc	kɔ̀ːrǝt͡s	
bràtrъ	slovene	bràt	bràːt	
maniti	slovene	mámiti	màːmiti	
sijàti	slovene	sijáti	sijàːti	
norvъ	slovene	nràv	nràːʋ	
stòlъ	slovene	stòɫ	stóʊ	
òlkomъ	slovene	lákom	làːkɔm	
bьčelà	slovene	bǝčę̑la	b͡ʃt͡ʃéːla	
moždžanъ	slovene	moždȃni	mɔʒdáːni	
obьtjь	slovene	óbči	ɔ̀ːbt͡ʃi	
krǫtiti	slovene	krotiti	krɔtiti	
bìčь	slovene	bìč	bə́t͡ʃ	
kosmъ	slovene	kósǝm	kɔ̀ːs	
mě̑xъ	slovene	mẹ̑h	méːx	
v̀ydra	slovene	vȋdra	ʋíːdra	
pě́stъ	slovene	pẹ́stọ	pèːst	
sь̑rdьce	slovene	srcę̑	srt͡sé̝ː	
sъrěsti	slovene	srẹ́sti	srèːsti	
jьkrà	slovene	íkra	ìːkra	
tatь	slovene	tȃt	táːt	
erębina	slovene	jerebína	jɛrɛbìːna	
čȇrvo	slovene	črẹvọ̑	t͡ʃréːʋóː	
viti	slovene	víti	ʋìːti	
ǫ̑gъlъ	slovene	ǫ̑gǝɫ	ɔɡǝʊ	
pьkъlъ	slovene	pǝkǝ̀ɫ	pək	
brъsati	slovene	bŕkati	bə̀rkati	
žeravь	slovene	žerjàv	ʒɛrjàːʋ	
otverti	slovene	odvrẹ́ti	ɔdʋrèːti	
ěrostь	slovene	jarọ̑st	jaróːst	
eževica	slovene	ježevíca	jɛʒɛʋìːt͡sa	
ę̄drò	slovene	jédrọ	jɛ̀ːdro	
xoditi	slovene	hóditi	xɔ̀ːditi	
grǫ̀da	slovene	grúda	ɡrùːda	
būčàti	slovene	búčat	bùːt͡ʃat	
pjьvàti	slovene	pljuváti	pljuʋàːti	
vь̑lkъ	slovene	vȏɫk	ʋɔ́ːʋk	
lȗbъ	slovene	lȗb	lúːp	
zelènъ	slovene	zelèn	zɛlɛ̀ːn	
golota	slovene	golọ̑ta	ɡɔlóːta	
dàti	slovene	dáti	dàːti	
ežika	slovene	ježíca	jɛʒìːt͡sa	
zьdati	slovene	zídati	zìːdati	
lъgati	slovene	lǝgáti	lɔɡàːti	
stě̀nь	slovene	stẹ́n	stèːn	
gǫgnati	slovene	gognjáti	ɡɔɡnjàːti	
glupъ	slovene	glȗp	ɡlúːp	
teti	slovene	tépsti	tɛ̀ːpsti	
lugъ	slovene	lȗg	lúːk	
ty	slovene	tȋ	tíː	
vertenò	slovene	vrẹténọ	ʋrèːtɛn	
edvà	slovene	jèdva	jɛ̀ːdʋa	
gatati	slovene	gátati	ɡàːtati	
otъ	slovene	òd	ɔ́t	
nòžь	slovene	nòž	nɔ́ʒ	
l̨uby	slovene	ljubȃv	ljubáːʋ	
pozdьnъ	slovene	pózǝn	pɔ̀ːzən	
sęgnǫti	slovene	sę́gniti	sè̝ːɡniti	
sỳpati	slovene	sípati	sìːpati	
zěvati	slovene	zẹ́vati	zèːʋati	
měšъkъ	slovene	mẹ̑h	méːx	
pòrgъ	slovene	pràg	pràːk	
glezno	slovene	glę́žǝnj	ɡlèːʒǝnj	
vьrěti	slovene	vrẹ́ti	ʋrèːti	
ȍlkъtъ	slovene	lakȃt	lakáːt	
zīmà	slovene	zíma	zìːma	
zȏbь	slovene	zǫ̑b	zóːp	
jьkro	slovene	íkra	ìːkra	
sérnъ	slovene	srẹ̑n	sréːn	
moldenьcь	slovene	mladę́nǝc	mladòːn	
tvorъ	slovene	tvọ̑r	tʋóːr	
gnȗsъ	slovene	gnȗs	ɡnúːs	
kǫ̑sъ	slovene	kǫ̑s	kóːs	
vozìti	slovene	vóziti	ʋɔ̀ːziti	
muditi	slovene	mudíti	mudìːti	
groziti	slovene	grozíti	ɡrɔzìːti	
grỳzti	slovene	grísti	ɡrìːsti	
tesla	slovene	tésla	tɛ̀ːsla	
mȏzgъ	slovene	mọ̑zg	móːsk	
mokrъ	slovene	mǫ́kǝr	mèːk	
zelьje	slovene	zę́lje	zèːljɛ	
gȍlǫbь	slovene	golǫ̑b	ɡɔlɔ̀ːb	
xlǫdъ	slovene	hlǫ́d	xlò̝ːt	
lìpa	slovene	lípa	lìːpa	
děl̨a	slovene	dẹ̀lj	délj	
spě̀ti	slovene	spẹ́ti	spèːti	
mùxa	slovene	múha	mùːxa	
orbòta	slovene	rabọ̑ta	rabóːta	
ǫty	slovene	ǫ̑tva	ó̝ːtʋa	
polè̌no	slovene	polẹ́nọ	pɔlèːno	
stàviti	slovene	stáviti	stàːʋiti	
boln̨a	slovene	blánja	blàːnja	
sy̑nъ	slovene	sȋn	síːn	
brìti	slovene	bríti	brìːti	
vě̀jati	slovene	vẹ́ti	ʋèːti	
trǫtъ	slovene	trǫ̑t	tró̝ːt	
lъbъ	slovene	lǝ̀b	lə́b	
vę̀dnǫti	slovene	vę́niti	ʋèːniti	
sěkti	slovene	sẹ́či	sèːt͡ʃi	
ęti	slovene	ję́ti	jèːti	
vȃrъ	slovene	vȃr	ʋáːr	
bridъ	slovene	brȋd	bríːt	
ęčьmy	slovene	jéčmen	jɛ̀ːt͡ʃmɛn	
dętelъ	slovene	dę́tǝɫ	dè̝ːtǝʊ	
žeravъ	slovene	žerȃvica	ʒɛráːʋit͡sa	
čerěnъ	slovene	čerẹ̀n	t͡ʃɛrèːn	
arьmò	slovene	járǝm	jàːr	
mъldni	slovene	móɫnja	mɔ̀ːʊnja	
polšiti	slovene	plášiti	plàːʃiti	
čàdja	slovene	čáj	t͡ʃàːj	
àgnę	slovene	jágnje	jàːɡnjɛ	
stergti	slovene	strẹ́či	strèːt͡ʃi	
glabiti	slovene	glábiti	ɡlàːbiti	
orbiti	slovene	rábiti	ràːbiti	
krȍsno	slovene	krósna	krɔ̀ːsna	
tęgъ	slovene	tę̑g	té̝ːk	
gǫžьva	slovene	gǫ́žva	ɡèːʒʋa	
bytьje	slovene	bítje	bìːtjɛ	
xomǫtъ	slovene	homǫ̑t	xɔmó̝ːt	
pěga	slovene	pẹ́ga	pèːɡa	
ložìti	slovene	lóžiti	lɔ̀ːʒiti	
tьla	slovene	tlà	tlá	
poltьnò	slovene	plátnọ	plàːtno	
topìti	slovene	topíti	tɔpìːti	
cě̄nìti	slovene	cẹ́niti	t͡sèːniti	
oràti	slovene	oráti	ɔràːti	
kùpъ	slovene	kùp	kúp	
dunǫti	slovene	dúniti	dùːniti	
dajati	slovene	dajáti	dajàːti	
męti	slovene	mę́ti	mèːti	
elbedь	slovene	labǫ́d	labò̝ːt	
bìdlo	slovene	bílọ	bìːlo	
motriti	slovene	mótriti	mɔ̀ːtriti	
sъ	slovene	s(ǝ̀)	s	
mьgà	slovene	mǝglà	məɡlá	
bǫbьnъ	slovene	bǫ̑bǝn	bóːbən	
mьglà	slovene	mǝglà	məɡlá	
dьrnǫti	slovene	dŕgniti	də̀rɡniti	
dyxati	slovene	díhati	dìːxati	
zъly	slovene	zȃɫva	záːʊʋa	
myto	slovene	mítọ	mìːto	
òlkati	slovene	lákati	làːkati	
znojь	slovene	znǫ̑j	znéːj	
glota	slovene	glǫ̑ta	ɡléːta	
lùža	slovene	lúža	lùːʒa	
màkъ	slovene	màk	màːk	
klъcati	slovene	kóɫcati	kɔ̀ːt͡stati	
koprъ	slovene	kópǝr	kɔ̀ːpər	
tъ̀ščьjь	slovene	tǝ̀šč	tə́ʃt͡ʃ	
svě̑tъ	slovene	svę̑t	sʋéːt	
mě̀riti	slovene	mę́riti	mè̝ːriti	
medjà	slovene	méja	mɛ̀ːja	
luskati	slovene	lúskati	lùːskati	
rǫbìti	slovene	rǫ́biti	rò̝ːbiti	
vòlga	slovene	vlága	ʋlàːɡa	
zeml̨à	slovene	zémlja	zɛ̀ːmlja	
ovьcà	slovene	óvca	ɔ̀ːʋt͡sa	
bol̨ьjь	slovene	bọ̑lji	bóːlji	
gǫ̑sь	slovene	gọ̑s	ɡóːs	
pletjè	slovene	pléče	plɛ̀ːt͡ʃɛ	
lękati	slovene	lę́cati	lèːt͡sati	
kъxnǫti	slovene	kę́hniti	kòːxniti	
pustìti	slovene	pustíti	pustìːti	
pręsti	slovene	prę́sti	prèːsti	
sỳrъ	slovene	sìr	sír	
ajьce	slovene	jájce	jàːjt͡sɛ	
pa	slovene	pò	pɔ́	
trȗpъ	slovene	trȗp	trúːp	
ostь̀nъ	slovene	ǫ́stǝn	ò̝ːstən	
ǫ̀zlъ	slovene	vózǝɫ	ʋɔ̀ːzǝʊ	
lože	slovene	lǫ́že	lèːʒɛ	
sěděti	slovene	sẹdẹ́ti	sedèːti	
globa	slovene	glóba	ɡlɔ̀ːba	
pьzděti	slovene	pǝzdė́ti	pəzdìːti	
ǫ̀glь	slovene	ǫ̑gǝɫ	ɔɡǝʊ	
krotъkъ	slovene	krótǝk	krɔ̀ːtǝk	
dolъ	slovene	dọ̑ɫ	dóːʊ	
àsъtrě̄bъ	slovene	jȃstreb	jáːstrɛp	
kǫtja	slovene	kǫ́ča	kèːt͡ʃa	
xorna	slovene	hrána	xràːna	
čérdъ	slovene	črẹ́da	t͡ʃrèːda	
vermę	slovene	vréme	ʋrɛ̀ːmɛ	
vȏrgъ	slovene	vrȃg	ʋráːk	
košer̨a	slovene	košȃra	kɔʃáːra	
gъnǫti	slovene	gǝníti	ɡǝnìːti	
bàjati	slovene	bájati	bàːjati	
gnusьnъ	slovene	gnúsǝn	ɡnùːsən	
kvȃsъ	slovene	kvȃs	kʋáːs	
kutiti	slovene	kutiti se	kutiti sɛsɛ	
materьnъ	slovene	matǫ́rǝn	matòːrǝn	
vergti	slovene	vrẹ́či	ʋrèːt͡ʃi	
pь̀rstъ	slovene	pȓst	pə́rst	
polìca	slovene	políca	pɔlìːt͡sa	
čìstiti	slovene	čístiti	t͡ʃìːstiti	
puxnǫti	slovene	púhniti	pùːxniti	
pǫpъ	slovene	pǫ̑p	pó̝ːp	
žarъ	slovene	žȃr	ʒáːr	
kòža	slovene	kǫ́ža	kèːʒa	
čьrvь	slovene	čȓv	t͡ʃə́rʋ	
osьla	slovene	ósla	ɔ̀ːsla	
desętъ	slovene	desę́ti	dɛsèːti	
kazati	slovene	kázati	kàːzati	
migati	slovene	mígati	mìːɡati	
basnь	slovene	bȃsǝn	báːsǝn	
sǫditi	slovene	sǫ́diti	sèːditi	
bỳti	slovene	bíti	bìːti	
dȗxъ	slovene	dȗh	dúːx	
trāvà	slovene	tráva	tràːʋa	
klikъ	slovene	klȋk	klíːk	
