				corr.
dertì	slovene	drẹ́ti	drèːti	
jùgъ	slovene	jùg	júk	
grozdьje	slovene	grǫ́zdje	ɡrèːzdjɛ	
smȏrdъ	slovene	smrȃd	smráːt	
lě̑sъ	slovene	lẹ̑s	léːs	
kozьlъ	slovene	kózǝɫ	kɔ̀ːsǝʊ	
žalь	slovene	žàɫ	ʒáʊ	
strujà	slovene	strúja	strùːja	
vy	slovene	vȋ	ʋíː	
lěpiti	slovene	lẹpíti	lèːpìːti	
rȏgъ	slovene	rọ̑g	ró̝ːk	
grìva	slovene	gríva	ɡrìːʋa	
grǫbъ	slovene	grǫ̑b	ɡró̝ːp	
bȏrnь	slovene	brȃn	bráːn	
òrtajь	slovene	rátaj	ràːtaj	
nȏktь	slovene	nọ̑č	nóːt͡ʃ	
mъdьlьnъ	slovene	mǝdlę̑n	mɛdléːn	
gatь	slovene	gȃt	ɡáːt	
klęčati	slovene	klę́čati	klèːt͡ʃati	
bogàtъ	slovene	bogàt	bɔɡàːt	
tìskati	slovene	tískati	tìːskati	
čàdjь	slovene	čáj	t͡ʃàːj	
sъn	slovene	s(ǝ̀)	s	
lazъ	slovene	lȃz	láːs	
slȗxъ	slovene	slȗh	slúːx	
otrokъ	slovene	otròk	ɔtrɔk	
gȏldъ	slovene	glȃd	ɡláːt	
sъlojь	slovene	slòj	slòj	
bỳstrъ	slovene	bístǝr	bìːstər	
pozdъ	slovene	pozd	pɔzd	
erębica	slovene	jerebíca	jɛrɛbìːt͡sa	
olbodà	slovene	lóboda	lɔ̀ːbɔda	
pālìti	slovene	páliti	pàːliti	
znamenьje	slovene	známenje	znàːmɛnjɛ	
kašlь	slovene	kášǝlj	kàːʃəl	
krakati	slovene	krȃkati	kráːkati	
pavorzъ	slovene	povràz	pɔʋràːs	
bràtъ	slovene	bràt	bràːt	
dȃnь	slovene	dȃn	dáːn	
židъkъ	slovene	žídǝk	ʒìːtǝk	
grę̑zь	slovene	grę̑z	ɡréːs	
męknǫti	slovene	mę́kniti	mèːkniti	
gadati	slovene	gádati	ɡàːdati	
lě̑vъ	slovene	lẹ̑v	léːʋ	
jьgra	slovene	ígra	ìːɡra	
vědrò	slovene	vẹ́drọ	ʋèːdr	
lìti	slovene	líti	lìːti	
gomula	slovene	gomóla	ɡɔmɔ̀ːla	
sòrka	slovene	sráka	sràːka	
žьrtva	slovene	žȓtva	ʒə́rtʋa	
pǫditi	slovene	podíti	pɔdìːti	
tri	slovene	triję̑	trijé̝ː	
kǫda	slovene	kǫ́da	kò̝ːda	
žely	slovene	žę̑ɫva	ʒé̝ːʊʋa	
čerdà	slovene	črẹ́da	t͡ʃrèːda	
ebàti	slovene	jébati	jɛ̀ːbati	
lь̑stь	slovene	lǝ̀st	lə̀ːst	
pekti	slovene	péči	pɛ̀ːt͡ʃi	
aščerъ	slovene	jȃščerica	jáːʃt͡ʃɛrit͡sa	
nevě̀sta	slovene	nevẹ́sta	nɛʋèːsta	
