		pięść		pjej̃ɕt͡ɕ	
nǫ̀dja	polish	nędza	ˈnɛnd͡za	ˈnɛnd͡za	
palьcь	polish	palec	ˈpalɛt͡s		
pletjè	polish	plecy	ˈplɛt͡sɨ		
vьrsta	polish	wrstwa	vrstfa		
stьdzà	polish	ścieżka	ˈɕt͡ɕɛʂka		
modrъ	polish	modry	ˈmɔdrɨ		
bordlo	polish	brodɫo	ˈbrɔdwɔ		
čь̀rnъ	polish	czarny	ˈt͡ʂarnɨ		
gǫ̀ba	polish	gęba	ˈɡɛmba	ˈɡɛmba	
gorà	polish	góra	ˈɡura		
kašьl̨ati	polish	kaszlać	ˈkaʂlat͡ɕ		
smьrdě̀ti	polish	śmierdzieć	ˈɕmʲɛrd͡ʑɛt͡ɕ		
edlà	polish	jodɫa	ˈjɔdwa		
plъ̀tъ	polish	pɫet	pwɛt		
kysьlъ	polish	kisɫy	ˈkʲiswɨ		
sočìti	polish	soczyć	ˈsɔt͡ʂɨt͡ɕ		
drevje	polish	drzewiej	ˈdʐɛvʲɛj		
nāròdъ	polish	naród	ˈnarut		
però	polish	pióro	ˈpʲurɔ		
durьnъ	polish	durny	ˈdurnɨ		
dȅvętь	polish	dziewięć	ˈd͡ʑɛvʲɛɲt͡ɕ	ˈd͡ʑɛvʲɛɲt͡ɕ	
nogъtь	polish	nogieć	ˈnɔɡʲɛt͡ɕ		
pavorzъ	polish	powróz	ˈpɔvrus		
bolnь	polish	bɫona	ˈbwɔna		
sъpati	polish	spać	spat͡ɕ		
čerslò	polish	trzosɫa	ˈtʂɔswa		
kъ̀rpa	polish	karpa	ˈkarpa		
korìti	polish	korzyć się	ˈkɔʐɨt͡ɕ ɕɛ	ˈkɔʐɨt͡ɕ ɕɛ	
kъ	polish	ku	ku		
bojaznь	polish	bojaźń	ˈbɔjaʑɲ		
čelò	polish	czoɫo	ˈt͡ʂɔwɔ		
rědъkъ	polish	rzadki	ˈʐatkʲi		
moldenьcь	polish	mɫodzieniec	mwɔˈd͡ʑɛɲɛt͡s		
mǫ̀ka	polish	męka	ˈmɛŋka	ˈmɛŋka	
glazъ	polish	gɫaz	ɡwas		
gъrba	polish	garb	ɡarp		
polsà	polish	pɫosa	ˈpwɔsa		
mě̑xъ	polish	miech	mʲɛx		
vьrěti	polish	wrzeć	vʐɛt͡ɕ		
rokъ	polish	rok	rɔk		
bȏlь	polish	ból	bul		
bъ̑rz	polish	bardzo	ˈbard͡zɔ		
mỳdlo	polish	mydɫo	ˈmɨdwɔ		
netopyr'ь	polish	nietoperz	ɲɛˈtɔpɛʂ		
pȇktь	polish	piec	pʲɛt͡s		
ovь̀sъ	polish	owies	ˈɔvʲɛs		
kypě̀ti	polish	kipieć	ˈkʲipʲɛt͡ɕ		
jьlъkъ	polish	jeɫkij	ˈjɛwkʲij		
rě̑čь	polish	rzecz	ʐɛt͡ʂ		
košer̨a	polish	koszar	ˈkɔʂar		
kyslъ	polish	kisɫy	ˈkʲiswɨ		
kara	polish	kara	ˈkara		
pȏtъ	polish	pot	pɔt		
kòšь	polish	kosz	kɔʂ		
kozà	polish	koza	ˈkɔza		
morà	polish	mora	ˈmɔra		
ězgarь	polish	jażdż	jaʂt͡ʂ		
ěrъka	polish	jarka	ˈjarka		
solvьjь	polish	sɫowik	ˈswɔvʲik		
slùxati	polish	sɫuchać	ˈswuxat͡ɕ		
tьla	polish	tɫo	twɔ		
vȏlsъ	polish	wɫos	vwɔs		
mě̀lъkъ	polish	mieɫy	ˈmʲɛwɨ		
stogъ	polish	stóg	stuk		
xvorstьje	polish	chroście	ˈxrɔɕt͡ɕɛ		
xorniti	polish	chronić	ˈxrɔɲit͡ɕ		
nozdra	polish	nozdrze	ˈnɔzdʐɛ		
ęčati	polish	jęczeć	ˈjɛnt͡ʂɛt͡ɕ	ˈjɛnt͡ʂɛt͡ɕ	
libovъ	polish	lubawy	luˈbavɨ		
pīščàti	polish	piskać	ˈpʲiskat͡ɕ		
klasti	polish	kɫaść	kwaɕt͡ɕ		
sъmьrtь	polish	śmierć	ɕmʲɛrt͡ɕ		
či	polish	czy	t͡ʂɨ		
sòldъkъ	polish	sɫodki	ˈswɔtkʲi		
krěpъkъ	polish	krzepki	ˈkʂɛpkʲi		
ězъ	polish	jaz	jas		
olьsa	polish	olesie	ɔˈlɛɕɛ		
vìděti	polish	widzieć	ˈvʲid͡ʑɛt͡ɕ		
melkò	polish	mleko	ˈmlɛkɔ		
minovati	polish	minować	mʲiˈnɔvat͡ɕ		
borzdà	polish	bruzda	ˈbruzda		
blekotъ	polish	blekot	ˈblɛkɔt		
mъrky	polish	marchew	ˈmarxɛf		
tȏkъ	polish	tok	tɔk		
piskarь	polish	piskorz	ˈpʲiskɔʂ		
kolti	polish	kɫuć	kwut͡ɕ		
vъtorьnikъ	polish	wtorek	ˈftɔrɛk		
dāvàti	polish	dawać	ˈdavat͡ɕ		
solnъ	polish	sɫony	ˈswɔnɨ		
kurica	polish	kurzyca	kuˈʐɨt͡sa		
pь̀strъ	polish	pstry	pstrɨ		
màlъ	polish	maɫy	ˈmawɨ		
živòtъ	polish	żywot	ˈʐɨvɔt		
vòn̨ь	polish	woń	vɔɲ		
mь̀rtvъ	polish	martwy	ˈmartfɨ		
plàviti	polish	pɫawić	ˈpwavʲit͡ɕ		
sě̀ti	polish	siać	ɕat͡ɕ		
mùxa	polish	mucha	ˈmuxa		
jelьša	polish	olsza	ˈɔlʂa		
kobьcь	polish	kobiec	ˈkɔbʲɛt͡s		
tesla	polish	ciosɫa	ˈt͡ɕɔswa		
sěsti	polish	siąść	ɕɔ̃ɕt͡ɕ	ɕɔw̃ɕt͡ɕ	
tъ̀ščьjь	polish	czczy	t͡ʂt͡ʂɨ		
vertenò	polish	wrzeciono	vʐɛˈt͡ɕɔnɔ		
òsmь	polish	osiem	ˈɔɕɛm		
serdà	polish	środa	ˈɕrɔda		
erębъkъ	polish	jarząb	ˈjaʐɔmp	ˈjaʐɔmp	
paxnǫti	polish	pachnąć	ˈpaxnɔɲt͡ɕ	ˈpaxnɔɲt͡ɕ	
ęcati	polish	jąkać	ˈjɔŋkat͡ɕ	ˈjɔŋkat͡ɕ	
že	polish	że	ʐɛ		
bytьje	polish	bycie	ˈbɨt͡ɕɛ		
mogti	polish	móc	mut͡s		
bez	polish	bez	bɛs		
bàviti	polish	bawić	ˈbavʲit͡ɕ		
košara	polish	koszar	ˈkɔʂar		
sъporъ	polish	spór	spur		
kolta	polish	kɫota	ˈkwɔta		
gnusьnъ	polish	gnuśny	ˈɡnuɕnɨ		
borna	polish	brona	ˈbrɔna		
lȏvъ	polish	ɫów	wuf		
vỳmę	polish	wymię	ˈvɨmʲɛ	ˈvɨmʲɛ	
estь	polish	jest	jɛst		
bogàtъ	polish	bogaty	bɔˈɡatɨ		
obьtjь	polish	obcy	ˈɔpt͡sɨ		
azъ	polish	ja	ja		
ěra	polish	jar	jar		
čakati	polish	czakać	ˈt͡ʂakat͡ɕ		
vъtorъkъ	polish	wtorek	ˈftɔrɛk		
kъrkati	polish	karkać	ˈkarkat͡ɕ		
kotъ	polish	kot	kɔt		
mь̀čь	polish	miecz	mʲɛt͡ʂ		
sěkti	polish	siec	ɕɛt͡s		
kry	polish	krew	krɛf		
bèrmę	polish	brzemię	ˈbʐɛmʲɛ	ˈbʐɛmʲɛ	
xvórstъ	polish	chrust	xrust		
ȍpaky	polish	opak	ˈɔpak		
tỳlъ	polish	tyɫ	tɨw		
orkỳta	polish	rokita	rɔˈkʲita		
golěmъ	polish	golemy	ɡɔˈlɛmɨ		
brьdnǫti	polish	brnąć	brnɔɲt͡ɕ	brnɔɲt͡ɕ	
koprъ	polish	koper	ˈkɔpɛr		
