		pięść		pjej̃ɕt͡ɕ	
klěščiti	polish	kleścić	ˈklɛɕt͡ɕit͡ɕ		
pǫpъ	polish	pęp	pɛmp		
pȳtàti	polish	pytać	ˈpɨtat͡ɕ		
bliskati	polish	bɫyskać	ˈbwɨskat͡ɕ		
emežь	polish	jemiesz	ˈjɛmʲɛʂ		
jьgrь	polish	gra	ɡra		
veslò	polish	wiosɫo	ˈvʲɔswɔ		
trǫtъ	polish	truteń	ˈtrutɛɲ		
pàǭkъ	polish	pająk	ˈpajɔŋk		
dristati	polish	drzystać	ˈdʐɨstat͡ɕ		
ȏsь	polish	oś	ɔɕ		
pьrvъ	polish	pierwszy	ˈpʲɛrfʂɨ		
truti	polish	truć	trut͡ɕ		
plě̑šь	polish	plesz	plɛʂ		
kurъ	polish	kur	kur		
dyxati	polish	dychać	ˈdɨxat͡ɕ		
dǫ̀ti	polish	dąć	dɔɲt͡ɕ		
vojьna	polish	wojna	ˈvɔjna		
osa	polish	osa	ˈɔsa		
nevodъ	polish	niewód	ˈɲɛvut		
pǫpъkъ	polish	pęp	pɛmp		
osà	polish	osa	ˈɔsa		
sęknǫti	polish	siąknąć	ˈɕɔŋknɔɲt͡ɕ		
kaziti	polish	kazić	ˈkaʑit͡ɕ		
otjьtnǫti	polish	ocknąć się	ˈɔt͡sknɔɲt͡ɕ ɕɛ		
rāčìti	polish	raczyć	ˈrat͡ʂɨt͡ɕ		
edìnъ	polish	jeden	ˈjɛdɛn		
žȋvъ	polish	żywy	ˈʐɨvɨ		
svekrъ	polish	świekr	ɕfʲɛkr		
elьxa	polish	olcha	ˈɔlxa		
greti	polish	grześć	ɡʐɛɕt͡ɕ		
kȏsъ	polish	kos	kɔs		
bìti	polish	bić	bʲit͡ɕ		
blistati	polish	bɫyskać	ˈbwɨskat͡ɕ		
ě̀to	polish	jato	ˈjatɔ		
lędvьja	polish	lędźwie	ˈlɛɲd͡ʑvʲɛ		
kǫ́tъ	polish	kąt	kɔnt		
žerdlò	polish	źródɫo	ˈʑrudwɔ		
sòmъ	polish	sum	sum		
gospodinъ	polish	gospodzin	ɡɔˈspɔd͡ʑin		
vȇrskъ	polish	wrzos	vʐɔs		
krě̀slo	polish	krzesɫo	ˈkʂɛswɔ		
dē̌žà	polish	dzieża	ˈd͡ʑɛʐa		
dolъ	polish	dóɫ	duw		
dvьrь	polish	drzwi	dʐvʲi		
nòžь	polish	nóż	nuʂ		
nǫditi	polish	nudzić	ˈnud͡ʑit͡ɕ		
pьšenò	polish	pszono	ˈpʂɔnɔ		
čę̑stь	polish	część	t͡ʂɛ̃ɕt͡ɕ		
belená	polish	blen	blɛn		
ȅzerъ	polish	jezioro	jɛˈʑɔrɔ		
bòlna	polish	bɫona	ˈbwɔna		
lěnìvъ	polish	leniwy	lɛˈɲivɨ		
dȍma	polish	doma	ˈdɔma		
kašl̨ati	polish	kaszlać	ˈkaʂlat͡ɕ		
govьnò	polish	gówno	ˈɡuvnɔ		
želě̀zo	polish	żelazo	ʐɛˈlazɔ		
pě̀na	polish	piana	ˈpʲana		
lě̀to	polish	lato	ˈlatɔ		
krajь	polish	kraj	kraj		
lùža	polish	ɫuża	ˈwuʐa		
bridъkъ	polish	brzydki	ˈbʐɨtkʲi		
dьrgati	polish	dziergać	ˈd͡ʑɛrɡat͡ɕ		
kopati	polish	kopać	ˈkɔpat͡ɕ		
morvi	polish	mrówka	ˈmrufka		
slȗxъ	polish	sɫuch	swux		
glȗxъ	polish	gɫuchy	ˈɡwuxɨ		
grǫdъ	polish	gruda	ˈɡruda		
sǫditi	polish	sądzić	ˈsɔɲd͡ʑit͡ɕ		
puxati	polish	puchać	ˈpuxat͡ɕ		
ěxati	polish	jechać	ˈjɛxat͡ɕ		
blizъkъ	polish	bliski	ˈblʲiskʲi		
motati	polish	motać	ˈmɔtat͡ɕ		
xlǫdъ	polish	chɫąd	xwɔnt		
dь̀lgъ	polish	dɫugi	ˈdwuɡʲi		
mьrznǫti	polish	marznąć	ˈmarznɔɲt͡ɕ		
godina	polish	godzina	ɡɔˈd͡ʑina		
elenь	polish	jeleń	ˈjɛlɛɲ		
evьja	polish	jawia	ˈjavʲa		
esètrъ	polish	jesiotr	ˈjɛɕɔtr		
tъ	polish	ten	tɛn		
pь̀lnъ	polish	peɫny	ˈpɛwnɨ		
blizь	polish	blizo	ˈblʲizɔ		
vě̀ko	polish	wieko	ˈvʲɛkɔ		
pę̑tь	polish	pięć	pʲɛɲt͡ɕ		
krỳti	polish	kryć	krɨt͡ɕ		
mȃzь	polish	maź	maɕ		
edvà	polish	ledwo	ˈlɛdvɔ		
gvozdъ	polish	gwóźdź	ɡvuɕt͡ɕ		
grebenь	polish	grzebień	ˈɡʐɛbʲɛɲ		
vъ	polish	w(e)	vɛ		
čerdà	polish	trzoda	ˈtʂɔda		
dě̀lo	polish	dzieɫo	ˈd͡ʑɛwɔ		
sněgъ	polish	śnieg	ɕɲɛk		
karati	polish	karać	ˈkarat͡ɕ		
ȍko	polish	oko	ˈɔkɔ		
ložìti	polish	ɫožyć	ˈwɔwɨt͡ɕ		
nogà	polish	noga	ˈnɔɡa		
bordà	polish	broda	ˈbrɔda		
kozьlъ	polish	kozioɫ	ˈkɔʑɔw		
basnь	polish	baśń	baɕɲ		
skòra	polish	skóra	ˈskura		
polvъ	polish	pɫowy	ˈpwɔvɨ		
kruxъ	polish	kruch	krux		
gatъ	polish	gać	ɡat͡ɕ		
kъn	polish	ku	ku		
paznegъtь	polish	paznokieć	pazˈnɔkʲɛt͡ɕ		
merti	polish	mrzeć	mʐɛt͡ɕ		
kašьlь	polish	kaszel	ˈkaʂɛl		
ovьcà	polish	owca	ˈɔft͡sa		
pьkъlo	polish	piekɫo	ˈpʲɛkwɔ		
mьn̨ьjь	polish	mniejszy	ˈmɲɛjʂɨ		
vasъ	polish	was	vas		
drobьnъ	polish	drobny	ˈdrɔbnɨ		
osmъ	polish	ósmy	ˈusmɨ		
obolkъ	polish	obɫok	ˈɔbwɔk		
glabati	polish	gɫabać	ˈɡwabat͡ɕ		
kropiti	polish	kropić	ˈkrɔpʲit͡ɕ		
nosìti	polish	nosić	ˈnɔɕit͡ɕ		
boln̨a	polish	bɫona	ˈbwɔna		
gàdъ	polish	gad	ɡat		
kỳla	polish	kiɫa	ˈkʲiwa		
poìti	polish	poić	ˈpɔit͡ɕ		
plàkati	polish	pɫakać	ˈpwakat͡ɕ		
glupъ	polish	gɫupi	ˈɡwupʲi		
gnȏjь	polish	gnój	ɡnuj		
palъka	polish	paɫka	ˈpawka		
tìskati	polish	ciskać	ˈt͡ɕiskat͡ɕ		
ěžь	polish	jaz	jas		
cě̄nìti	polish	cenić	ˈt͡sɛɲit͡ɕ		
krasьnъ	polish	krasny	ˈkrasnɨ		
zaverti	polish	zawrzeć	ˈzavʐɛt͡ɕ		
dupl̨a	polish	dziupla	ˈd͡ʑupla		
pǫditi	polish	pędzić	ˈpɛɲd͡ʑit͡ɕ		
dikъ	polish	dziki	ˈd͡ʑikʲi		
krъvьnъ	polish	krewny	ˈkrɛvnɨ		
olbodà	polish	lebioda	lɛˈbʲɔda		
nadъ	polish	nad(e)	ˈnadɛ		
prȏstъ	polish	prosty	ˈprɔstɨ		
kovati	polish	kuć	kut͡ɕ		
osìna	polish	osa	ˈɔsa		
do	polish	do	dɔ		
ę̄drò	polish	jądro	ˈjɔndrɔ		
làska	polish	ɫaska	ˈwaska		
stìgnǫti	polish	ścignąć	ˈɕt͡ɕiɡnɔɲt͡ɕ		
čęstъ	polish	częsty	ˈt͡ʂɛ̃stɨ		
stàti	polish	stać się	stat͡ɕ ɕɛ		
svьrběti	polish	świerzbieć	ˈɕfʲɛʐbʲɛt͡ɕ		
blъxà	polish	pchɫa	pxwa		
dūxàti	polish	duchać	ˈduxat͡ɕ		
želǫdъkъ	polish	żoɫądek	ʐɔˈwɔndɛk		
ękati	polish	jąkać	ˈjɔŋkat͡ɕ		
čemerika	polish	ciemierzyca	t͡ɕɛmʲɛˈʐɨt͡sa		
gȏstь	polish	gość	ɡɔɕt͡ɕ		
muzga	polish	muzga	ˈmuzɡa		
bagno	polish	bagno	ˈbaɡnɔ		
dę̄snà	polish	dziąsɫa	ˈd͡ʑɔ̃swa		
dérnъ	polish	drzón	dʐun		
perdъ	polish	przed(e)	ˈpʂɛdɛ		
luska	polish	ɫuska	ˈwuska		
gospodь	polish	gospód	ˈɡɔsput		
vòrna	polish	wrona	ˈvrɔna		
mъnogъ	polish	mnogi	ˈmnɔɡʲi		
grьměti	polish	grzmieć	ɡʐmʲɛt͡ɕ		
mojь	polish	mój	muj		
ȍpako	polish	opak	ˈɔpak		
mòrzъ	polish	mróz	mrus		
pòrgъ	polish	próg	pruk		
nebogъ	polish	niebogi	ɲɛˈbɔɡʲi		
remy	polish	rzemień	ˈʐɛmʲɛɲ		
bolěti	polish	boleć	ˈbɔlɛt͡ɕ		
gńìti	polish	gnić	ɡɲit͡ɕ		
gràbiti	polish	grabić	ˈɡrabʲit͡ɕ		
jьgъlà	polish	igɫa	ˈiɡwa		
jьkrà	polish	ikra	ˈikra		
pa	polish	po	pɛ ɔ		
poltьnò	polish	pɫótno	ˈpwutnɔ		
kъto	polish	kto	ktɔ		
arь̀mъ	polish	jarzmo	ˈjaʐmɔ		
pràvъ	polish	prawy	ˈpravɨ		
znojь	polish	znój	znuj		
kòrsta	polish	krosta	ˈkrɔsta		
ežina	polish	jeżyna	jɛˈʐɨna		
žьrny	polish	żarna	ˈʐarna		
měna	polish	miana	ˈmʲana		
kàjati	polish	kajać się	ˈkajat͡ɕ ɕɛ		
blě̑skъ	polish	blask	blask		
mьrknǫti	polish	mierzchnąć	ˈmʲɛʂxnɔɲt͡ɕ		
čel̨adь	polish	czeladź	ˈt͡ʂɛlat͡ɕ		
glъtati	polish	glutać	ˈɡlutat͡ɕ		
stьgna	polish	ściegna	ˈɕt͡ɕɛɡna		
tęga	polish	ciąg	t͡ɕɔŋk		
stàdo	polish	stado	ˈstadɔ		
stȃnъ	polish	stan	stan		
osь̀lъ	polish	osioɫ	ˈɔɕɔw		
bràtьja	polish	bracia	ˈbrat͡ɕa		
ebàti	polish	jebać	ˈjɛbat͡ɕ		
četvьrtъ	polish	czwarty	ˈt͡ʂfartɨ		
lazъ	polish	ɫaz	was		
čelověkъ	polish	czɫowiek	ˈt͡ʂwɔvʲɛk		
àma	polish	jama	ˈjama		
svętъ	polish	święty	ˈɕfʲɛntɨ		
durь	polish	dur	dur		
telktì	polish	tɫuc	twut͡s		
klějь	polish	klej	klɛj		
nevě̀sta	polish	niewiasta	ɲɛˈvʲasta		
žerti	polish	żreć	ʐrɛt͡ɕ		
kakъ	polish	kaki	ˈkakʲi		
lьgъkъ	polish	lekki	ˈlɛkkʲi		
kǫpina	polish	kępina	kɛmˈpʲina		
doltò	polish	dɫuto	ˈdwutɔ		
mȃstь	polish	maść	maɕt͡ɕ		
jьlъ	polish	iɫ	iw		
stòlъ	polish	stóɫ	stuw		
lъgati	polish	ɫgać	wɡat͡ɕ		
rǭkà	polish	ręka	ˈrɛŋka		
čьrpati	polish	czerpać	ˈt͡ʂɛrpat͡ɕ		
krǫpъ	polish	krępy	ˈkrɛmpɨ		
brediti	polish	bredzić	ˈbrɛd͡ʑit͡ɕ		
sỳrъ	polish	ser	sɛr		
krečetъ	polish	krzeczot	ˈkʂɛt͡ʂɔt		
l̨ȗdъ	polish	lud	lut		
ǫ́žь	polish	wąż	vɔ̃ʂ		
gybati	polish	gibać	ˈɡʲibat͡ɕ		
sòrka	polish	sroka	ˈsrɔka		
šьvьcь	polish	szewc	ʂɛft͡s		
korda	polish	króda	ˈkruda		
xȗdъ	polish	chudy	ˈxudɨ		
mìlъ	polish	miɫy	ˈmʲiwɨ		
onъ	polish	on	ɔn		
krǫglъ	polish	krągɫy	ˈkrɔŋɡwɨ		
gorěti	polish	gorzeć	ˈɡɔʐɛt͡ɕ		
olьse	polish	olesie	ɔˈlɛɕɛ		
brȏdъ	polish	bród	brut		
pèlva	polish	plewa	ˈplɛva		
lixъ	polish	lichy	ˈlʲixɨ		
àstrę̄bъ	polish	jastrząb	ˈjastʂɔmp		
tȗrъ	polish	tur	tur		
sъn	polish	z(e)	zɛ		
orě̀xъ	polish	orzech	ˈɔʐɛx		
grivьna	polish	grzywna	ˈɡʐɨvna		
per	polish	prze-	pʂɛ		
emešь	polish	jemiesz	ˈjɛmʲɛʂ		
tь̏nьkъ	polish	cienki	ˈt͡ɕɛnkʲi		
bъrtъ	polish	barć	bart͡ɕ		
kromě	polish	krom	krɔm		
drobь	polish	drób	drup		
čermъša	polish	trzemcha	ˈtʂɛmxa		
voskъ	polish	wosk	vɔsk		
elbǭtь	polish	ɫabędź	ˈwabɛɲt͡ɕ		
pȏrxъ	polish	proch	prɔx		
rȏdъ	polish	ród	rut		
àblonь	polish	jabɫoń	ˈjabwɔɲ		
lugъ	polish	ɫug	wuk		
želdъ	polish	żɫód	ʐwut		
krupьnъ	polish	krupny	ˈkrupnɨ		
emela	polish	jemioɫa	jɛˈmʲɔwa		
nȇrstъ	polish	mrzost	mʐɔst		
l̨ȗdьje	polish	ludzie	ˈlud͡ʑɛ		
mǫ̀čiti	polish	męczyć	ˈmɛnt͡ʂɨt͡ɕ		
tvorìti	polish	tworzyć	ˈtfɔʐɨt͡ɕ		
dъva	polish	dwa	dva		
xoditi	polish	chodzić	ˈxɔd͡ʑit͡ɕ		
esètra	polish	jesiotr	ˈjɛɕɔtr		
pryskati	polish	pryskać	ˈprɨskat͡ɕ		
lъbъ	polish	ɫeb	wɛp		
gumьnò	polish	gumno	ˈɡumnɔ		
akъjь	polish	jaki	ˈjakʲi		
kolto	polish	kɫota	ˈkwɔta		
dīvìti	polish	dziwić	ˈd͡ʑivʲit͡ɕ		
velkti	polish	wlec	vlɛt͡s		
grubъ	polish	gruby	ˈɡrubɨ		
sǫ́dъ	polish	sąd	sɔnt		
kuča	polish	kucza	ˈkut͡ʂa		
lě̑vъ	polish	lewy	ˈlɛvɨ		
čerěnъ	polish	trzon	tʂɔn		
zъvati	polish	zwać	zvat͡ɕ		
ęga	polish	jędza	ˈjɛnd͡za		
mǫ́drъ	polish	mądry	ˈmɔndrɨ		
vьlnà	polish	weɫna	ˈvɛwna		
bolnъ	polish	blen	blɛn		
dȇrvo	polish	drzewo	ˈdʐɛvɔ		
lȗbъ	polish	ɫub	wup		
tesàti	polish	ciosać	ˈt͡ɕɔsat͡ɕ		
tędzati	polish	ciągać	ˈt͡ɕɔŋɡat͡ɕ		
mьrziti	polish	mierzić	ˈmʲɛrʑit͡ɕ		
lě̀zti	polish	leźć	lɛɕt͡ɕ		
čermuša	polish	trzemcha	ˈtʂɛmxa		
globìti	polish	gɫobić	ˈɡwɔbʲit͡ɕ		
kašlь	polish	kaszel	ˈkaʂɛl		
bě́lъ	polish	biaɫy	ˈbʲawɨ		
kazati	polish	kazać	ˈkazat͡ɕ		
cě̑lъ	polish	caɫy	ˈt͡sawɨ		
krьnica	polish	krynica	krɨˈɲit͡sa		
bèrza	polish	brzoza	ˈbʐɔza		
mě̄zgà	polish	miazga	ˈmʲazɡa		
rodìti	polish	rodzić	ˈrɔd͡ʑit͡ɕ		
olьsъ	polish	olesie	ɔˈlɛɕɛ		
tàjati	polish	tajać	ˈtajat͡ɕ		
govorъ	polish	gowor	ˈɡɔvɔr		
ȇ̌dъ	polish	jad	jat		
blǭdìti	polish	bɫądzić	ˈbwɔɲd͡ʑit͡ɕ		
stryjь	polish	stryj	strɨj		
strigti	polish	strzyc	stʂɨt͡s		
kogъdy	polish	kiedy	ˈkʲɛdɨ		
zȏbъ	polish	dziób	d͡ʑup		
soxà	polish	socha	ˈsɔxa		
bezъ	polish	bez	bɛs		
černovъ	polish	(ząb) trzonowy	zɔp tʂɔˈnɔvɨ		
měšъkъ	polish	miech	mʲɛx		
edьnъ	polish	jeden	ˈjɛdɛn		
krasti	polish	kraść	kraɕt͡ɕ		
kysělъ	polish	kisiaɫy	kʲiˈɕawɨ		
māxàti	polish	machać	ˈmaxat͡ɕ		
nukati	polish	nukać	ˈnukat͡ɕ		
česno	polish	czosnek	ˈt͡ʂɔsnɛk		
drozdъ	polish	drozd	drɔst		
dobrъ	polish	dobry	ˈdɔbrɨ		
norvъ	polish	narów	ˈnaruf		
čьrmьnъ	polish	czermny	ˈt͡ʂɛrmnɨ		
jьmàti	polish	imać	ˈimat͡ɕ		
sьcati	polish	szczać	ʂt͡ʂat͡ɕ		
rъvàti	polish	rwać	rvat͡ɕ		
činìti	polish	czynić	ˈt͡ʂɨɲit͡ɕ		
korьcь	polish	korzec	ˈkɔʐɛt͡s		
modliti	polish	modlić	ˈmɔdlʲit͡ɕ		
sъtȏ	polish	sto	stɔ		
mę	polish	mię	mʲɛ		
sъ	polish	z(e)	zɛ		
mirъ	polish	mir	mʲir		
trъ̑stь	polish	treść	trɛɕt͡ɕ		
koltiti	polish	kɫócić	ˈkwut͡ɕit͡ɕ		
krǫtъ	polish	kręty	ˈkrɛntɨ		
kl̨účь	polish	klucz	klut͡ʂ		
dva	polish	dwa	dva		
tęgnǫti	polish	ciągnąć	ˈt͡ɕɔŋɡnɔɲt͡ɕ		
belenъ	polish	blen	blɛn		
lъža	polish	ɫża	wʐa		
sęgnǫti	polish	sięgnąć	ˈɕɛŋɡnɔɲt͡ɕ		
těnь	polish	cień	t͡ɕɛɲ		
kòrva	polish	krowa	ˈkrɔva		
gǫžьvь	polish	gążva	ˈɡɔ̃ʐja		
glьjь	polish	glej	ɡlɛj		
krasà	polish	krasa	ˈkrasa		
gromada	polish	gromada	ɡrɔˈmada		
vьrstva	polish	wrstwa	vrstfa		
grozьnъ	polish	groźny	ˈɡrɔʑnɨ		
někъto	polish	niekto	ˈɲɛktɔ		
bolnьje	polish	bɫonie	ˈbwɔɲɛ		
blizno	polish	blizna	ˈblʲizna		
tekti	polish	ciec	t͡ɕɛt͡s		
lȏjь	polish	ɫój	wuj		
mȍr̨e	polish	morze	ˈmɔʐɛ		
zmьjà	polish	żmija	ˈʐmʲija		
minǫti	polish	minąć	ˈmʲinɔɲt͡ɕ		
stàrъ	polish	stary	ˈstarɨ		
liběvъ	polish	lubawy	luˈbavɨ		
vodà	polish	woda	ˈvɔda		
elbedь	polish	ɫabędź	ˈwabɛɲt͡ɕ		
drъžь	polish	dreszcz	drɛʂt͡ʂ		
šȇstь	polish	sześć	ʂɛɕt͡ɕ		
vь̑lkъ	polish	wilk	vʲilk		
bojati sę	polish	bać się	bat͡ɕ ɕɛ		
rỳti	polish	ryć	rɨt͡ɕ		
dura	polish	dziura	ˈd͡ʑura		
zьlčь	polish	żóɫć	ʐuwt͡ɕ		
ȅzero	polish	jezioro	jɛˈʑɔrɔ		
nòvъ	polish	nowy	ˈnɔvɨ		
ženà	polish	żona	ˈʐɔna		
gȍlǫbь	polish	goɫąb	ˈɡɔwɔmp		
polšiti	polish	pɫoszyć	ˈpwɔʂɨt͡ɕ		
modla	polish	modɫa	ˈmɔdwa		
gǫžьva	polish	gążva	ˈɡɔ̃ʐja		
nìtь	polish	nić	ɲit͡ɕ		
kъrmъ	polish	karm	karm		
lixo	polish	licho	ˈlʲixɔ		
čekati	polish	czekać	ˈt͡ʂɛkat͡ɕ		
pьzděti	polish	bzdzieć	bzd͡ʑɛt͡ɕ		
volkà	polish	wɫóka	ˈvwuka		
śěrъ	polish	szary	ˈʂarɨ		
čarodějь	polish	czarodziej	t͡ʂaˈrɔd͡ʑɛj		
àstrě̄bъ	polish	jastrząb	ˈjastʂɔmp		
pekti	polish	piec	pʲɛt͡s		
bỳstrъ	polish	bystry	ˈbɨstrɨ		
glěnь	polish	glon	ɡlɔn		
dětę	polish	dziecię	ˈd͡ʑɛt͡ɕɛ		
nasъ	polish	nas	nas		
avьnъ	polish	jawny	ˈjavnɨ		
vorta	polish	wrota	ˈvrɔta		
žely	polish	żóɫwi	ˈʐuwvʲi		
rę̑dъ	polish	rząd	ʐɔnt		
grȏmъ	polish	grom	ɡrɔm		
drъžati	polish	drżeć	drʐɛt͡ɕ		
viti	polish	wić	vʲit͡ɕ		
dalèkъ	polish	daleki	daˈlɛkʲi		
kosmъ	polish	kosm	kɔsm		
tęžъkъ	polish	ciężki	ˈt͡ɕɛ̃ʂkʲi		
gvě̄zdà	polish	gwiazda	ˈɡvʲazda		
bъrtь	polish	barć	bart͡ɕ		
polè̌no	polish	polano	pɔˈlanɔ		
lamъ	polish	ɫam	wam		
mьgà	polish	mgɫa	mɡwa		
měniti	polish	mienić się	ˈmʲɛɲit͡ɕ ɕɛ		
bràtrъ	polish	brat	brat		
juže	polish	już	juʂ		
strycь	polish	stryj	strɨj		
dỳmъ	polish	dym	dɨm		
tǭgà	polish	tęga	ˈtɛŋɡa		
cě̄nà	polish	cena	ˈt͡sɛna		
děl̨a	polish	dla	dla		
ostь̀nъ	polish	oścień	ˈɔɕt͡ɕɛɲ		
vy-	polish	wy-	vɨ		
òrtajь	polish	rataj	ˈrataj		
drobězga	polish	drobiazg	ˈdrɔbʲask		
ěsti	polish	jeść	jɛɕt͡ɕ		
xlě̀bъ	polish	chleb	xlɛp		
tъ̀ščь	polish	czczy	t͡ʂt͡ʂɨ		
mȏzgъ	polish	mózg	musk		
berstъ	polish	brzost	bʐɔst		
orz	polish	roz-	rɔs		
stydъ	polish	wstyd	fstɨt		
devętъ	polish	dziewiąty	d͡ʑɛˈvʲɔntɨ		
koltъ	polish	kɫota	ˈkwɔta		
bьrati	polish	brać	brat͡ɕ		
drě̄màti	polish	drzemać	ˈdʐɛmat͡ɕ		
bobrъ	polish	bóbr	bupr		
cělovàti	polish	caɫować	t͡saˈwɔvat͡ɕ		
òlkomъ	polish	ɫakomy	waˈkɔmɨ		
bliscati	polish	bɫyskać	ˈbwɨskat͡ɕ		
svě̄tjà	polish	świeca	ˈɕfʲɛt͡sa		
mě̀dь	polish	miedź	mʲɛt͡ɕ		
belnъ	polish	blen	blɛn		
gỳnǫti	polish	ginąć	ˈɡʲinɔɲt͡ɕ		
pȋvo	polish	piwo	ˈpʲivɔ		
tr̨ьje	polish	trzy	tʂɨ		
vьrtě̀ti	polish	wiercić	ˈvʲɛrt͡ɕit͡ɕ		
krīdlò	polish	krzydɫo	ˈkʂɨdwɔ		
ǫ̑gъlъ	polish	węgieɫ	ˈvɛŋɡʲɛw		
rǫ̑bъ	polish	rąb	rɔmp		
a	polish	a	a		
krъxъ	polish	krech	krɛx		
moldъ	polish	mɫody	ˈmwɔdɨ		
slìna	polish	ślina	ˈɕlʲina		
sь̑rdьce	polish	serce	ˈsɛrt͡sɛ		
dъždžь	polish	deszcz	dɛʂt͡ʂ		
sъ̏lnьce	polish	sɫońce	ˈswɔɲt͡sɛ		
melti	polish	mleć	mlɛt͡ɕ		
bry	polish	brew	brɛf		
dъxnǫti	polish	tchnąć	txnɔɲt͡ɕ		
màzati	polish	mazać	ˈmazat͡ɕ		
česnъ	polish	czosnek	ˈt͡ʂɔsnɛk		
mȏstъ	polish	most	mɔst		
dȅsętь	polish	dziesięć	ˈd͡ʑɛɕɛɲt͡ɕ		
gńilъ	polish	gniɫy	ˈɡɲiwɨ		
grě́xъ	polish	grzech	ɡʐɛx		
kukati	polish	kukać	ˈkukat͡ɕ		
glògъ	polish	gɫóg	ɡwuk		
pȅpelъ	polish	popióɫ	ˈpɔpʲuw		
mьžiti	polish	mżyć	mʐɨt͡ɕ		
brodìti	polish	brodzić	ˈbrɔd͡ʑit͡ɕ		
bordatъ	polish	brodaty	brɔˈdatɨ		
ȁsenь	polish	jesion	ˈjɛɕɔn		
pȇlnъ	polish	plon	plɔn		
ezъ	polish	jaz	jas		
otvorìti	polish	otvoriti	ɔtfɔˈrʲiti		
sèdmъ	polish	siódmy	ˈɕudmɨ		
gòlъ	polish	goɫy	ˈɡɔwɨ		
mьrzěti	polish	mierzieć	ˈmʲɛʐʲɛt͡ɕ		
čȋnъ	polish	czyn	t͡ʂɨn		
mъlviti	polish	mówić	ˈmuvʲit͡ɕ		
solovikъ	polish	sɫowik	ˈswɔvʲik		
slàbъ	polish	sɫaby	ˈswabɨ		
volknò	polish	wɫókno	ˈvwuknɔ		
mъxъ	polish	mech	mɛx		
zȍlto	polish	zɫoto	ˈzwɔtɔ		
dal̨a	polish	dal	dal		
rekti	polish	rzec	ʐɛt͡s		
luskati	polish	ɫuskać	ˈwuskat͡ɕ		
nyně	polish	ninie	ˈɲiɲɛ		
godьnъ	polish	godny	ˈɡɔdnɨ		
