osь̀lъ	slovak	osol	ˈɔsɔɫ		
palica	slovak	palica	ˈpalit͡sa		
mě̀dь	slovak	meď	ˈmɛc		
mě̑sìti	slovak	miesiť	ˈmi̯ɛsic		
kopati	slovak	kopať	ˈkɔpac		
lȇdъ	slovak	ľad	ˈʎat		
brъzda	slovak	brzda	ˈbr̩zda		
brȏdъ	slovak	brod	ˈbrɔt		
bȏrъ	slovak	bor	bor		
korica	slovak	korica	ˈkɔrit͡sa		
grǫ̀da	slovak	hruda	ˈɦruda		
pìti	slovak	piť	pic		
lučiti	slovak	lúčiť	ˈɫuːt͡ʃic		
kъ	slovak	k(u)	ku		
nȅbo	slovak	nebo	ˈɲɛbɔ		
tvorìti	slovak	tvoriť	ˈtvɔric		
kara	slovak	kára	kaːra		
tesàti	slovak	tesať	ˈcɛsac		
xoditi	slovak	chodiť	ˈxɔɟic		
dětę	slovak	dieťa	ˈɟi̯eca		
dyxati	slovak	dýchať	ˈdiːxac		
arь̀mъ	slovak	jarmo	ˈjarmo		
bodàti	slovak	bodať	ˈbɔdac		
drevьnъ	slovak	drevný	ˈdrevniː		
àblъka	slovak	jablko	jabɫ̩ko		
durьnъ	slovak	durný	ˈdurniː		
dę̄snò	slovak	ďasno	ˈɟasno		
piskalъ	slovak	piskor	ˈpiskɔr		
krъvьnъ	slovak	krvný	ˈkr̩vniː		
gъ̑rdъ	slovak	hrdý	ˈɦr̩diː		
sě̀nь	slovak	sieň	si̯eɲ		
bolnъ	slovak	blen	blen		
vy-	slovak	vy-	ˈvi		
vě̀ko	slovak	veko	ˈvɛkɔ		
vьrtě̀ti	slovak	vrteť	ˈʋr̩cec		
glàdъkъ	slovak	hladký	ˈɦɫatkiː		
krǫ̑gъ	slovak	kruh	krux		
pỳrъ	slovak	pýr	ˈpiːr		
lъkno	slovak	lekno	ˈlɛknɔ		
bìtva	slovak	bitva	ˈbitva		
ěrьcь	slovak	jarec	ˈjaret͡s		
mìlъ	slovak	milý	ˈmiliː		
nozdr̨a	slovak	nozdra	ˈnɔzdra		
pavorzъ	slovak	povraz	ˈpɔvras		
rȗdъ	slovak	rudý	ˈrudiː		
grǫbъ	slovak	hrubý	ˈɦrubiː		
tỳsęti	slovak	tisíc	ˈcisiːt͡s		
prijatelь	slovak	priateľ	ˈpri̯acɛʎ		
soltina	slovak	slatina	ˈsɫatina		
kyjь	slovak	kyj	ˈkij		
ěrъka	slovak	jarka	ˈjarka		
ȍpaky	slovak	opak	ˈɔpak		
plàkati	slovak	plakať	ˈpɫakac		
ě̀zva	slovak	jazva	ˈjazva		
česno	slovak	cesnak	ˈt͡sɛsnak		
kozà	slovak	koza	ˈkɔza		
mě̄zgà	slovak	miazga	ˈmi̯azɡa		
